transmission_line_id,circuit_id,province,operating_region,owner,number_of_circuits,current,line_segment_length_km,line_segment_length_mi,line_length_km,line_length_mi,voltage_in_kv,reactance_in_ohm,summer_ampacity,winter_ampacity,summer_rating_in_mva,winter_rating_in_mva,power_factor,smax,summer_capacity_in_mw,winter_capacity_in_mw,starting_node_name,starting_node_code,ending_node_name,ending_node_code,notes,sources
15371,202L,AB,Alberta,"Altalink Management Ltd.",1,ac,85.000,52.469,119.200,73.580,138,NULL,NULL,85,90,1,NULL,NULL,77,81,NULL,AB_58S_GSS,NULL,AB_178S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:6, line_segment_length_mi:6, line_length_km:6, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15372,202L,AB,Alberta,"Altalink Management Ltd.",1,ac,12.000,7.407,119.200,73.580,138,NULL,NULL,98,132,1,NULL,NULL,88,119,NULL,AB_178S_DSS,NULL,AB_359S_JCT,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15373,202L,AB,Alberta,"Altalink Management Ltd.",1,ac,7.200,4.444,119.200,73.580,138,NULL,NULL,98,132,1,NULL,NULL,88,119,NULL,AB_359S_JCT,NULL,AB_61S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15374,202L,AB,Alberta,"Altalink Management Ltd.",1,ac,15.000,9.259,119.200,73.580,144,NULL,NULL,NULL,NULL,1,2.49,NULL,127,141,NULL,AB_61S_DSS,NULL,AB_62S_GSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15375,202AL,AB,Alberta,"Altalink Management Ltd.",1,ac,7.200,4.444,7.200,4.444,144,NULL,NULL,NULL,NULL,1,3.00,NULL,154,170,NULL,AB_359S_JCT,NULL,AB_359S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:19, reactance:24, smax:None, sum_ampacity:None, win_ampacity:None, sum_rating:None, win_rating:None, power_factor:None, win_capacity:None, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15376,207L,AB,Alberta,"Altalink Management Ltd.",1,ac,10.500,6.481,10.500,6.481,138,NULL,NULL,120,148,1,NULL,NULL,108,133,NULL,AB_370S_DSS,NULL,AB_111S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15377,21.61L,AB,Alberta,"ENMAX Power Corporation",1,ac,12.750,7.870,12.750,7.870,69,NULL,NULL,72,72,1,NULL,NULL,65,65,NULL,AB_SS34_DSS,NULL,AB_SS21_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15378,21.80L,AB,Alberta,"ENMAX Power Corporation",1,ac,5.950,3.673,5.950,3.673,138,NULL,NULL,236,262,1,NULL,NULL,212,236,NULL,AB_42S_DSS,NULL,AB_SS21_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15379,215L,AB,Alberta,"Altalink Management Ltd.",1,ac,4.600,2.840,4.600,2.840,138,NULL,NULL,120,146,1,NULL,NULL,108,131,NULL,AB_38S_DSS,NULL,AB_286S_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
15380,22.81L,AB,Alberta,"ENMAX Power Corporation",1,ac,5.950,3.673,5.950,3.673,138,NULL,NULL,285,287,1,NULL,NULL,257,258,NULL,AB_SS22_DSS,NULL,AB_SS39_DSS,NULL,"circuit_id:None, owner:175, planning_rgn:None, num_of_circuits:None, current:None, line_segment_length_km:19, line_segment_length_mi:6, line_length_km:19, line_length_mi:6, voltage:7, reactance:24, smax:None, sum_ampacity:None, win_ampacity:7, sum_rating:7, win_rating:None, power_factor:None, win_capacity:7, starting_node_code:None, ending_node_name:19, ending_node_code:None, other_references:None, notes:None"
