name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
Gaetz 87S,AB_87S_DSS,DSS,Altalink Management Ltd.,AB,52.302068,-113.728788,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Briker 880S,AB_880S_DSS,DSS,ATCO Electric Ltd.,AB,53.087878,-110.298939,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Sturgeon 2 881S,AB_881S_DSS,DSS,ATCO Electric Ltd.,AB,54.942768,-117.204833,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Triangle 882S,AB_882S_DSS,DSS,ATCO Electric Ltd.,AB,55.446519,-116.643632,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Gregoire 883S,AB_883S_DSS,DSS,ATCO Electric Ltd.,AB,56.466856,-111.305662,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mcmillan 885S,AB_885S_DSS,DSS,ATCO Electric Ltd.,AB,55.753719,-112.233818,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Updike 886S,AB_886S_DSS,DSS,ATCO Electric Ltd.,AB,55.409908,-119.821704,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Dover 888S,AB_888S_DSS,DSS,ATCO Electric Ltd.,AB,57.030096,-111.919909,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Melito 890S,AB_890S_DSS,DSS,ATCO Electric Ltd.,AB,58.441564,-117.219335,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ribstone Creek 892S,AB_892S_DSS,DSS,ATCO Electric Ltd.,AB,52.14431,-111.198401,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Heart Lake 898S,AB_898S_DSS,DSS,ATCO Electric Ltd.,AB,55.044372,-111.648785,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Edgerton 899S,AB_899S_DSS,DSS,Altalink Management Ltd.,AB,52.770528,-110.464686,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ellerslie 89S,AB_89S_DSS,DSS,Altalink Management Ltd.,AB,53.433811,-113.459539,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Loyalist 903S,AB_903S_DSS,DSS,ATCO Electric Ltd.,AB,51.92647,-110.614831,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Meikle 905S,AB_905S_DSS,DSS,ATCO Electric Ltd.,AB,57.103102,-117.564843,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Ross Creek 906S,AB_906S_DSS,DSS,Altalink Management Ltd.,AB,53.72429,-113.173789,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Waddel 907S,AB_907S_DSS,DSS,ATCO Electric Ltd.,AB,55.817806,-111.452971,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Mahno 909S,AB_909S_DSS,DSS,ATCO Electric Ltd.,AB,54.688009,-110.506909,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Excel 910S,AB_910S_DSS,DSS,ATCO Electric Ltd.,AB,51.415495,-110.52756,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bindloss 914S,AB_914S_DSS,DSS,ATCO Electric Ltd.,AB,50.85637,-110.34892,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Horse River 917S,AB_917S_DSS,DSS,ATCO Electric Ltd.,AB,56.110983,-111.806894,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Bauer 918S,AB_918S_DSS,DSS,ATCO Electric Ltd.,AB,53.234189,-111.032734,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Jack Pine 920S,AB_920S_DSS,DSS,ATCO Electric Ltd.,AB,57.239189,-111.393856,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
Green Stocking 925S,AB_925S_DSS,DSS,ATCO Electric Ltd.,AB,57.2427,-111.071193,Alberta,"name:19, node_code:None, node_type:None, owner:None, latitude:None, longitude:None, references:None, ",NULL
