name,node_code,node_type,owner,province,latitude,longitude,planning_region,sources,notes
"Ville de Sherbrooke Saint-François",QC_VSF_DSS,DSS,"Hydro Québec",QC,45.421698,-71.905139,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Sherbrooke Galt",QC_VSG_DSS,DSS,"Hydro Québec",QC,45.390661,-71.882130,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Sherbrooke Massé",QC_VSM_DSS,DSS,"Hydro Québec",QC,45.371325,-72.017580,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"Ville de Sherbrooke Orford",QC_VSO_DSS,DSS,"Hydro Québec",QC,45.399108,-71.964182,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Val-Tétreau,QC_VTR_DSS,DSS,"Hydro Québec",QC,45.419706,-75.739955,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Waconichi,QC_WCO_DSS,DSS,"Hydro Québec",QC,50.292875,-73.771229,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Weedon,QC_WDN_DSS,DSS,"Hydro Québec",QC,45.685630,-71.458868,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wemindji,QC_WJI_DSS,DSS,"Hydro Québec",QC,53.006197,-78.792034,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wakefield,QC_WKF_DSS,DSS,"Hydro Québec",QC,45.666073,-75.943435,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Waterloo,QC_WLO_DSS,DSS,"Hydro Québec",QC,45.341647,-72.533611,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Windsor,QC_WND_DSS,DSS,"Hydro Québec",QC,45.568782,-71.993478,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Waswanipi,QC_WSW_DSS,DSS,"Hydro Québec",QC,49.813731,-75.698031,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Wyman,QC_WYM_DSS,DSS,"Hydro Québec",QC,45.552742,-76.324922,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
Yamaska,QC_YAM_DSS,DSS,"Hydro Québec",QC,45.969646,-72.836369,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"INT Sandy Pond",XX_QCUS1_INT,INT,"QC-US Border",QC,45.011382,-71.736560,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"INT Derby",XX_QCUS2_INT,INT,"QC-US Border",QC,45.005641,-72.109295,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"INT Highgate",XX_QCUS3_INT,INT,"QC-US Border",QC,45.014169,-72.968183,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"INT Massena Dundee",XX_QCUS4_INT,INT,"QC-US Border",QC,44.996952,-74.454093,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
"INT Dennison",XX_QCUS5_INT,INT,"QC-US Border",QC,45.004700,-74.785827,Québec,"name:391, node_code:None, node_type:373, owner:None, latitude:None, longitude:None, references:None, ",NULL
