date,g628,g636,g637,g644,g640,g629,g632,g633,g641,g635,g643,g630,g639,g631,g646,g627,g634,g642,g638,g645
2018-05-03 00:00:00,13774.629215350664,203.84771196299653,0.0,0.0,0.0,119.30442802228184,151.8019684336384,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-03 01:00:00,24064.883954584737,203.84771196299653,0.0,0.0,0.0,2676.550650533897,151.8019684336384,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,331.30563133955917,0.0,0.0,0.0
2018-05-03 02:00:00,34355.138693818815,230.40000000000006,0.0,0.0,0.0,5542.712890470958,295.8112528565533,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 03:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,5542.712890470958,325.9391521660121,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 04:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,9090.395909986606,325.9391521660121,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 05:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,12413.687070364756,469.94843658892717,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 06:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,14055.613855808444,613.957721011842,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 07:00:00,38517.227465691765,230.40000000000006,0.0,0.0,0.0,15787.179200252876,613.957721011842,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 08:00:00,38517.227465691765,230.40000000000006,0.0,0.0,0.0,19174.22152295679,757.967005434757,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 09:00:00,38517.227465691765,230.40000000000006,0.0,0.0,0.0,21445.648691149494,757.967005434757,0.0,0.0,0.0,218.82161254485092,0.0,0.0,0.0,0.0,0.0,211.04192353100768,0.0,0.0,0.0
2018-05-03 10:00:00,44645.39343305288,230.40000000000006,0.0,0.0,0.0,21445.648691149494,757.967005434757,0.0,0.0,649.4247115717113,865.0581611623525,0.0,0.0,77.9722287809488,0.0,0.0,211.04192353100768,0.0,0.0,0.0
